RIDER_ID,LOCATION,APPLICATION_DATE,APPLICATION_APPROVED_DATE,FIRST_WORK_DATE,ACQUISITION_CHANNEL,VEHICLE_TYPE,HOURS_WORKED_CUMULATIVE_7,HOURS_WORKED_CUMULATIVE_14,HOURS_WORKED_CUMULATIVE_28,HOURS_WORKED_CUMULATIVE_56,HOURS_WORKED_CUMULATIVE_84,HOURS_WORKED_CUMULATIVE_168,ORDERS_DELIVERED_CUMULATIVE_7,ORDERS_DELIVERED_CUMULATIVE_14,ORDERS_DELIVERED_CUMULATIVE_28,ORDERS_DELIVERED_CUMULATIVE_56,ORDERS_DELIVERED_CUMULATIVE_84,ORDERS_DELIVERED_CUMULATIVE_168,THROUGHPUT_CUMULATIVE_7,THROUGHPUT_CUMULATIVE_14,THROUGHPUT_CUMULATIVE_28,THROUGHPUT_CUMULATIVE_56,THROUGHPUT_CUMULATIVE_84,THROUGHPUT_CUMULATIVE_168,REFERRALS_CUMULATIVE_7,REFERRALS_CUMULATIVE_14,REFERRALS_CUMULATIVE_28,REFERRALS_CUMULATIVE_56,REFERRALS_CUMULATIVE_84,REFERRALS_CUMULATIVE_168,SUCCESSFUL_REFERRALS_CUMULATIVE_7,SUCCESSFUL_REFERRALS_CUMULATIVE_14,SUCCESSFUL_REFERRALS_CUMULATIVE_28,SUCCESSFUL_REFERRALS_CUMULATIVE_56,SUCCESSFUL_REFERRALS_CUMULATIVE_84,SUCCESSFUL_REFERRALS_CUMULATIVE_168
1864,New York,00:00.0,00:00.0,03/04/2017,Digital,Scooter / Motorcycle,41,59.6,85,245.9,431.3,810.4,90,140,228,606,1084,1952,2.2,2.35,2.68,2.46,2.51,2.41,,,,1,1,1,,,,0,1,1
3062,New York,00:00.0,00:00.0,30/10/2016,Offline,Bicycle,15.7,15.7,15.7,15.7,15.7,15.7,26,26,26,26,26,26,1.65,1.65,1.65,1.65,1.65,1.65,,,,,,,,,,,,
5276,New York,00:00.0,00:00.0,01/04/2017,Organic,Scooter / Motorcycle,7.4,11.2,23.3,23.3,23.3,23.3,21,31,70,70,70,70,2.85,2.78,3,3,3,3,1,1,2,2,2,2,0,0,0,0,0,0
9510,New York,00:00.0,00:00.0,28/10/2016,Digital,Bicycle,28.5,28.5,38.1,66.4,68.9,74.4,23,23,41,83,87,97,0.81,0.81,1.08,1.25,1.26,1.3,,,,,,,,,,,,
16977,New York,00:00.0,00:00.0,24/03/2017,Organic,Bicycle,9.3,17.1,19.5,23.8,23.8,23.8,23,44,52,67,67,67,2.48,2.57,2.67,2.82,2.82,2.82,,,,,,,,,,,,
18573,New York,00:00.0,00:00.0,26/11/2016,Referral,Scooter / Motorcycle,11.6,14,68.3,115.4,203.8,614.9,21,26,142,291,564,1903,1.81,1.86,2.08,2.52,2.77,3.1,,,,,,2,,,,,,1
21106,Rio de Janeiro,,,13/11/2016,Unknown,Bicycle,20.8,31.6,34.2,34.2,34.2,34.2,34,55,59,59,59,59,1.63,1.74,1.72,1.72,1.72,1.72,,,,,,,,,,,,
22434,Rio de Janeiro,,,13/11/2016,Organic,Bicycle,27.1,27.1,27.1,27.1,31.4,31.4,60,60,60,60,75,75,2.21,2.21,2.21,2.21,2.39,2.39,,,,,,,,,,,,
23130,New York,00:00.0,00:00.0,15/11/2016,Organic,Bicycle,9.2,15.5,30.8,65.3,77.8,124.1,19,28,58,139,177,322,2.06,1.81,1.88,2.13,2.28,2.6,,,,,,,,,,,,
26139,New York,00:00.0,00:00.0,04/03/2017,Offline,Scooter / Motorcycle,23.7,29.1,66.2,182.1,288.7,426.7,68,82,176,496,816,1179,2.87,2.82,2.66,2.72,2.83,2.76,,,,1,1,1,,,,0,0,0
30910,New York,00:00.0,00:00.0,18/11/2016,Referral,Scooter / Motorcycle,46,62.5,168.2,273.1,400.1,820.8,88,113,337,585,874,1794,1.91,1.81,2,2.14,2.18,2.19,,,1,1,1,1,,,0,0,0,0
31212,New York,00:00.0,00:00.0,08/12/2016,Organic,Bicycle,3.9,7.9,11.1,11.1,11.1,11.1,8,16,22,22,22,22,2.03,2.02,1.98,1.98,1.98,1.98,,,,,,,,,,,,
32121,New York,00:00.0,00:00.0,31/10/2016,Referral,Scooter / Motorcycle,1.9,1.9,18.5,45.7,45.7,45.7,0,0,34,82,82,82,0,0,1.84,1.79,1.79,1.79,,,,,,1,,,,,,0
33023,New York,,00:00.0,22/11/2016,Organic,Bicycle,1.2,1.2,1.2,1.2,1.2,7.1,4,4,4,4,4,21,3.4,3.4,3.4,3.4,3.4,2.97,6,6,6,6,6,6,0,0,0,0,0,0
34226,Rio de Janeiro,00:00.0,00:00.0,27/12/2016,Organic,Bicycle,20.7,28.9,52.9,119.8,170.9,212.3,35,50,120,338,516,646,1.69,1.73,2.27,2.82,3.02,3.04,,,,,,,,,,,,
34353,Rio de Janeiro,00:00.0,00:00.0,24/12/2016,Organic,Bicycle,12.9,23.2,43.5,104.5,141.8,249,27,49,107,262,353,598,2.1,2.11,2.46,2.51,2.49,2.4,,,,,,,,,,,,
34881,New York,00:00.0,00:00.0,23/10/2016,Organic,Bicycle,28,50.8,80.6,130.2,225.3,270.6,38,72,120,181,357,471,1.36,1.42,1.49,1.39,1.58,1.74,,,,1,2,2,,,,0,1,1
36891,New York,00:00.0,00:00.0,21/03/2017,Organic,Scooter / Motorcycle,7.5,16.6,24.2,24.2,24.2,227,17,40,60,60,60,370,2.27,2.41,2.48,2.48,2.48,1.63,,,,,,1,,,,,,0
38893,New York,,,06/12/2016,Organic,Scooter / Motorcycle,23,28.2,28.2,37.6,48.9,83.3,62,76,76,93,112,132,2.69,2.7,2.7,2.47,2.29,1.58,,,,,,,,,,,,
40206,Rio de Janeiro,00:00.0,00:00.0,16/01/2017,Organic,Bicycle,2,2,2,2,2,2,5,5,5,5,5,5,2.47,2.47,2.47,2.47,2.47,2.47,,,,,,,,,,,,
42405,New York,00:00.0,00:00.0,18/10/2016,Organic,Bicycle,1.6,1.6,1.6,1.6,1.6,1.6,5,5,5,5,5,5,3.15,3.15,3.15,3.15,3.15,3.14,,,,,,,,,,,,
43614,New York,00:00.0,00:00.0,02/12/2016,Organic,Bicycle,30.5,55.6,124.8,176.7,266.9,402.1,53,96,189,283,509,843,1.74,1.73,1.51,1.6,1.91,2.1,,,,,,,,,,,,
45111,New York,00:00.0,00:00.0,26/11/2016,Referral,Scooter / Motorcycle,25.7,34.3,34.5,74.5,74.5,74.5,50,70,70,153,153,153,1.94,2.04,2.03,2.05,2.05,2.05,1,1,1,2,2,2,1,1,1,1,1,1
